"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,10,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"229,761"
2021,10,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),302
2021,10,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,10,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"165,157"
2021,10,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"34,531"
2021,10,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"113,445"
2021,10,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"26,310,900"
2021,10,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,344"
2021,10,MT,Total Electric Power Industry,Coal (Short Tons),"628,436"
2021,10,MT,Total Electric Power Industry,Natural Gas (Mcf),"561,079"
2021,10,MT,Total Electric Power Industry,Other Gases (Billion Btu),5
2021,10,MT,Total Electric Power Industry,Petroleum (Barrels),"30,709"
2021,10,MT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),639
2021,10,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,048"
2021,10,MT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,10,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),5
2021,10,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"30,344"
2021,10,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"627,797"
2021,10,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"165,824"
2021,10,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),319
2021,10,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,10,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"392,207"
2021,10,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),46
2021,10,NC,Total Electric Power Industry,Coal (Short Tons),"327,264"
2021,10,NC,Total Electric Power Industry,Natural Gas (Mcf),"30,611,789"
2021,10,NC,Total Electric Power Industry,Petroleum (Barrels),"48,867"
2021,10,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,907"
2021,10,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"61,501"
2021,10,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),920
2021,10,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),263
2021,10,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"110,029"
2021,10,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),102
2021,10,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,10,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),52
2021,10,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,141,638"
2021,10,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,158"
2021,10,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"325,094"
2021,10,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"25,298,621"
2021,10,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"46,635"
2021,10,ND,Total Electric Power Industry,Coal (Short Tons),"1,396,309"
2021,10,ND,Total Electric Power Industry,Natural Gas (Mcf),"1,145,205"
2021,10,ND,Total Electric Power Industry,Other Gases (Billion Btu),48
2021,10,ND,Total Electric Power Industry,Petroleum (Barrels),"4,757"
2021,10,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,764"
2021,10,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"10,461"
2021,10,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),48
2021,10,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,ND,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,10,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,393,545"
2021,10,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,134,744"
2021,10,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,757"
2021,10,NE,Total Electric Power Industry,Coal (Short Tons),"986,501"
2021,10,NE,Total Electric Power Industry,Natural Gas (Mcf),"1,075,822"
2021,10,NE,Total Electric Power Industry,Petroleum (Barrels),"3,678"
2021,10,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"29,859"
2021,10,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2021,10,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),431
2021,10,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"956,642"
2021,10,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,075,391"
2021,10,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,678"
2021,10,NH,Total Electric Power Industry,Coal (Short Tons),0
2021,10,NH,Total Electric Power Industry,Natural Gas (Mcf),"4,126,022"
2021,10,NH,Total Electric Power Industry,Petroleum (Barrels),"1,104"
2021,10,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"15,993"
2021,10,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,NH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,406"
2021,10,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),689
2021,10,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,083,195"
2021,10,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),96
2021,10,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,10,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"22,428"
2021,10,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),319
2021,10,NJ,Total Electric Power Industry,Coal (Short Tons),"22,566"
2021,10,NJ,Total Electric Power Industry,Natural Gas (Mcf),"21,256,989"
2021,10,NJ,Total Electric Power Industry,Other Gases (Billion Btu),37
2021,10,NJ,Total Electric Power Industry,Petroleum (Barrels),"1,936"
2021,10,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"147,713"
2021,10,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),37
2021,10,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),42
2021,10,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"82,056"
2021,10,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),18
2021,10,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"22,566"
2021,10,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,966,802"
2021,10,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,199"
2021,10,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,10,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"17,968,363"
2021,10,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),677
2021,10,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,10,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"92,055"
2021,10,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,10,NM,Total Electric Power Industry,Coal (Short Tons),"537,732"
2021,10,NM,Total Electric Power Industry,Geothermal (Billion Btu),35
2021,10,NM,Total Electric Power Industry,Natural Gas (Mcf),"5,043,907"
2021,10,NM,Total Electric Power Industry,Petroleum (Barrels),"7,217"
2021,10,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2021,10,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"49,775"
2021,10,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"17,289"
2021,10,NM,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),35
2021,10,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,806,927"
2021,10,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"537,732"
2021,10,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,169,916"
2021,10,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,217"
2021,10,NV,Total Electric Power Industry,Coal (Short Tons),"181,927"
2021,10,NV,Total Electric Power Industry,Geothermal (Billion Btu),"2,833"
2021,10,NV,Total Electric Power Industry,Natural Gas (Mcf),"13,241,432"
2021,10,NV,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,10,NV,Total Electric Power Industry,Petroleum (Barrels),940
2021,10,NV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"230,370"
2021,10,NV,"Combined Heat and Power, Commercial Power",Geothermal (Billion Btu),423
2021,10,NV,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"17,652"
2021,10,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,296,258"
2021,10,NV,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,10,NV,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,10,NV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"68,421"
2021,10,NV,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"2,410"
2021,10,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,598"
2021,10,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),254
2021,10,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"113,506"
2021,10,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,694,554"
2021,10,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),686
2021,10,NY,Total Electric Power Industry,Coal (Short Tons),0
2021,10,NY,Total Electric Power Industry,Natural Gas (Mcf),"36,096,963"
2021,10,NY,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,10,NY,Total Electric Power Industry,Petroleum (Barrels),"25,065"
2021,10,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,10,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"311,301"
2021,10,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,10,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),726
2021,10,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,10,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"424,715"
2021,10,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,338"
2021,10,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,038,648"
2021,10,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),15
2021,10,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,10,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"22,005,360"
2021,10,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"10,528"
2021,10,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,10,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,316,939"
2021,10,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"12,458"
2021,10,OH,Total Electric Power Industry,Coal (Short Tons),"1,424,161"
2021,10,OH,Total Electric Power Industry,Natural Gas (Mcf),"35,216,170"
2021,10,OH,Total Electric Power Industry,Other Gases (Billion Btu),273
2021,10,OH,Total Electric Power Industry,Petroleum (Barrels),"146,931"
2021,10,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,10,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"125,162"
2021,10,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),108
2021,10,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),38
2021,10,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,10,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"105,199"
2021,10,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),9
2021,10,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,10,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"60,036"
2021,10,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),165
2021,10,OH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"125,928"
2021,10,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,305,027"
2021,10,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"31,155,618"
2021,10,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"17,463"
2021,10,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"119,134"
2021,10,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,770,155"
2021,10,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,493"
2021,10,OK,Total Electric Power Industry,Coal (Short Tons),"618,633"
2021,10,OK,Total Electric Power Industry,Natural Gas (Mcf),"18,450,311"
2021,10,OK,Total Electric Power Industry,Petroleum (Barrels),"7,524"
2021,10,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,453"
2021,10,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"316,820"
2021,10,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),105
2021,10,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,10,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,10,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,818,055"
2021,10,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"614,180"
2021,10,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,315,436"
2021,10,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,419"
2021,10,OR,Total Electric Power Industry,Geothermal (Billion Btu),140
2021,10,OR,Total Electric Power Industry,Natural Gas (Mcf),"12,414,994"
2021,10,OR,Total Electric Power Industry,Petroleum (Barrels),30
2021,10,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"27,765"
2021,10,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"18,032"
2021,10,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,10,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,766,083"
2021,10,OR,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),140
2021,10,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,289,147"
2021,10,OR,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),0
2021,10,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,313,967"
2021,10,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),30
2021,10,PA,Total Electric Power Industry,Coal (Short Tons),"733,887"
2021,10,PA,Total Electric Power Industry,Natural Gas (Mcf),"67,177,395"
2021,10,PA,Total Electric Power Industry,Other Gases (Billion Btu),162
2021,10,PA,Total Electric Power Industry,Petroleum (Barrels),"10,647"
2021,10,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,650"
2021,10,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,001,323"
2021,10,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),162
2021,10,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,804"
2021,10,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,10,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"61,107"
2021,10,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),455
2021,10,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"135,906"
2021,10,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,047,817"
2021,10,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,10,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,442"
2021,10,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"596,331"
2021,10,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"62,052,718"
2021,10,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2021,10,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,861"
2021,10,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,10,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"14,430"
2021,10,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),85
2021,10,RI,Total Electric Power Industry,Coal (Short Tons),0
2021,10,RI,Total Electric Power Industry,Natural Gas (Mcf),"6,043,183"
2021,10,RI,Total Electric Power Industry,Petroleum (Barrels),191
2021,10,RI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"104,876"
2021,10,RI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"19,781"
2021,10,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),45
2021,10,RI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,10,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,918,526"
2021,10,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),146
2021,10,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,10,SC,Total Electric Power Industry,Coal (Short Tons),"461,900"
2021,10,SC,Total Electric Power Industry,Natural Gas (Mcf),"16,469,970"
2021,10,SC,Total Electric Power Industry,Petroleum (Barrels),"22,100"
2021,10,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),533
2021,10,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"77,225"
2021,10,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,209"
2021,10,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),3
2021,10,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),4
2021,10,SC,"Combined Heat and Power, Electric Power",Coal (Short Tons),640
2021,10,SC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"145,927"
2021,10,SC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),463
2021,10,SC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"350,534"
2021,10,SC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),9
2021,10,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"460,727"
2021,10,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"15,896,281"
2021,10,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"20,415"
2021,10,SD,Total Electric Power Industry,Coal (Short Tons),0
2021,10,SD,Total Electric Power Industry,Natural Gas (Mcf),"1,226,148"
2021,10,SD,Total Electric Power Industry,Petroleum (Barrels),"1,637"
2021,10,SD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"13,841"
2021,10,SD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),3
2021,10,SD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),7
2021,10,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,10,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,212,307"
2021,10,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,627"
2021,10,TN,Total Electric Power Industry,Coal (Short Tons),"464,617"
2021,10,TN,Total Electric Power Industry,Natural Gas (Mcf),"6,052,856"
2021,10,TN,Total Electric Power Industry,Other Gases (Billion Btu),7
2021,10,TN,Total Electric Power Industry,Petroleum (Barrels),"12,840"
2021,10,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"8,307"
2021,10,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"614,455"
2021,10,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),7
2021,10,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),128
2021,10,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,10,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"79,715"
2021,10,TN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,10,TN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"14,333"
2021,10,TN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),51
2021,10,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"456,310"
2021,10,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,344,353"
2021,10,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"12,661"
2021,10,TX,Total Electric Power Industry,Coal (Short Tons),"4,893,418"
2021,10,TX,Total Electric Power Industry,Natural Gas (Mcf),"144,134,956"
2021,10,TX,Total Electric Power Industry,Other Gases (Billion Btu),"1,798"
2021,10,TX,Total Electric Power Industry,Petroleum (Barrels),"24,760"
2021,10,TX,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"20,616,144"
2021,10,TX,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),969
2021,10,TX,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"15,068"
2021,10,TX,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"226,672"
2021,10,TX,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2021,10,TX,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"20,926,479"
2021,10,TX,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),829
2021,10,TX,"Electric Generators, Independent Power Producers",Coal (Short Tons),"3,260,904"
2021,10,TX,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"69,737,131"
2021,10,TX,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,034"
2021,10,TX,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,632,514"
2021,10,TX,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"32,628,530"
2021,10,TX,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,656"
2021,10,US-Total,Total Electric Power Industry,Coal (Short Tons),"35,573,490"
2021,10,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),"11,497"
2021,10,US-Total,Total Electric Power Industry,Natural Gas (Mcf),"967,902,490"
2021,10,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),"6,097"
2021,10,US-Total,Total Electric Power Industry,Petroleum (Barrels),"2,786,969"
2021,10,US-Total,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"163,560"
2021,10,US-Total,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"49,368,457"
2021,10,US-Total,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"4,509"
2021,10,US-Total,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"92,731"
2021,10,US-Total,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"9,085"
2021,10,US-Total,"Combined Heat and Power, Commercial Power",Geothermal (Billion Btu),423
2021,10,US-Total,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,179,144"
2021,10,US-Total,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"25,148"
2021,10,US-Total,"Combined Heat and Power, Electric Power",Coal (Short Tons),"495,723"
2021,10,US-Total,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"62,867,544"
2021,10,US-Total,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),"1,588"
2021,10,US-Total,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"322,094"
2021,10,US-Total,"Electric Generators, Independent Power Producers",Coal (Short Tons),"9,230,244"
2021,10,US-Total,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"10,334"
2021,10,US-Total,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"374,887,881"
2021,10,US-Total,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2021,10,US-Total,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"106,848"
2021,10,US-Total,"Electric Generators, Electric Utilities",Coal (Short Tons),"25,674,878"
2021,10,US-Total,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),739
2021,10,US-Total,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"476,599,464"
2021,10,US-Total,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2021,10,US-Total,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,240,148"
2021,10,UT,Total Electric Power Industry,Coal (Short Tons),"1,103,536"
2021,10,UT,Total Electric Power Industry,Geothermal (Billion Btu),254
2021,10,UT,Total Electric Power Industry,Natural Gas (Mcf),"4,254,560"
2021,10,UT,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,10,UT,Total Electric Power Industry,Petroleum (Barrels),"4,696"
2021,10,UT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,10,UT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"165,894"
2021,10,UT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,10,UT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,10,UT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"44,768"
2021,10,UT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,10,UT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"41,830"
2021,10,UT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"34,774"
2021,10,UT,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),121
2021,10,UT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),428
2021,10,UT,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,068,762"
2021,10,UT,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),133
2021,10,UT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,002,068"
2021,10,UT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,268"
2021,10,VA,Total Electric Power Industry,Coal (Short Tons),"40,896"
2021,10,VA,Total Electric Power Industry,Natural Gas (Mcf),"27,705,006"
2021,10,VA,Total Electric Power Industry,Petroleum (Barrels),"40,676"
2021,10,VA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,369"
2021,10,VA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"631,246"
2021,10,VA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,125"
2021,10,VA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,10,VA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,10,VA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"18,042"
2021,10,VA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,10,VA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,471,912"
2021,10,VA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,10,VA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,717,650"
2021,10,VA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,565"
2021,10,VA,"Electric Generators, Electric Utilities",Coal (Short Tons),"36,527"
2021,10,VA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,884,198"
2021,10,VA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"14,944"
2021,10,VT,Total Electric Power Industry,Natural Gas (Mcf),727
2021,10,VT,Total Electric Power Industry,Petroleum (Barrels),703
